STATE,year,type,race,sex,value
WA,2014,REFERRED,WHITE,MALE,2916
WI,2014,APPLICANTS,AMERICANINDIAN,FEMALE,6
WI,2014,APPLICANTS,AMERICANINDIAN,MALE,35
WI,2014,APPLICANTS,ASIAN,FEMALE,
WI,2014,APPLICANTS,ASIAN,MALE,11
WI,2014,APPLICANTS,BLACK,FEMALE,50
WI,2014,APPLICANTS,BLACK,MALE,401
WI,2014,APPLICANTS,HISPANIC,FEMALE,10
WI,2014,APPLICANTS,HISPANIC,MALE,143
WI,2014,APPLICANTS,NATIVEHAWAIIAN,FEMALE,
WI,2014,APPLICANTS,NATIVEHAWAIIAN,MALE,
WI,2014,APPLICANTS,TWOORMORERACES,FEMALE,
WI,2014,APPLICANTS,TWOORMORERACES,MALE,
WI,2014,APPLICANTS,WHITE,FEMALE,67
WI,2014,APPLICANTS,WHITE,MALE,1757
WI,2014,MEMBERS,AMERICANINDIAN,FEMALE,13
WI,2014,MEMBERS,AMERICANINDIAN,MALE,209
WI,2014,MEMBERS,ASIAN,FEMALE,5
WI,2014,MEMBERS,ASIAN,MALE,57
WI,2014,MEMBERS,BLACK,FEMALE,28
WI,2014,MEMBERS,BLACK,MALE,559
WI,2014,MEMBERS,HISPANIC,FEMALE,13
WI,2014,MEMBERS,HISPANIC,MALE,646
WI,2014,MEMBERS,NATIVEHAWAIIAN,FEMALE,
WI,2014,MEMBERS,NATIVEHAWAIIAN,MALE,
WI,2014,MEMBERS,TWOORMORERACES,FEMALE,
WI,2014,MEMBERS,TWOORMORERACES,MALE,
WI,2014,MEMBERS,WHITE,FEMALE,315
WI,2014,MEMBERS,WHITE,MALE,20601
WI,2014,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,3
WI,2014,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,25
WI,2014,REFERRALAPPLICANTS,ASIAN,FEMALE,4
WI,2014,REFERRALAPPLICANTS,ASIAN,MALE,14
WI,2014,REFERRALAPPLICANTS,BLACK,FEMALE,7
WI,2014,REFERRALAPPLICANTS,BLACK,MALE,96
WI,2014,REFERRALAPPLICANTS,HISPANIC,FEMALE,8
WI,2014,REFERRALAPPLICANTS,HISPANIC,MALE,71
WI,2014,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,
WI,2014,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,
WI,2014,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,
WI,2014,REFERRALAPPLICANTS,TWOORMORERACES,MALE,
WI,2014,REFERRALAPPLICANTS,WHITE,FEMALE,46
WI,2014,REFERRALAPPLICANTS,WHITE,MALE,1510
WI,2014,REFERRALS,AMERICANINDIAN,FEMALE,5
WI,2014,REFERRALS,AMERICANINDIAN,MALE,37
WI,2014,REFERRALS,ASIAN,FEMALE,3
WI,2014,REFERRALS,ASIAN,MALE,14
WI,2014,REFERRALS,BLACK,FEMALE,9
WI,2014,REFERRALS,BLACK,MALE,107
WI,2014,REFERRALS,HISPANIC,FEMALE,4
WI,2014,REFERRALS,HISPANIC,MALE,109
WI,2014,REFERRALS,NATIVEHAWAIIAN,FEMALE,
WI,2014,REFERRALS,NATIVEHAWAIIAN,MALE,
WI,2014,REFERRALS,TWOORMORERACES,FEMALE,
WI,2014,REFERRALS,TWOORMORERACES,MALE,
WI,2014,REFERRALS,WHITE,FEMALE,49
WI,2014,REFERRALS,WHITE,MALE,1632
WI,2014,REFERRED,AMERICANINDIAN,FEMALE,
WI,2014,REFERRED,AMERICANINDIAN,MALE,29
WI,2014,REFERRED,ASIAN,FEMALE,
WI,2014,REFERRED,ASIAN,MALE,13
WI,2014,REFERRED,BLACK,FEMALE,9
WI,2014,REFERRED,BLACK,MALE,92
WI,2014,REFERRED,HISPANIC,FEMALE,4
WI,2014,REFERRED,HISPANIC,MALE,84
WI,2014,REFERRED,NATIVEHAWAIIAN,FEMALE,
WI,2014,REFERRED,NATIVEHAWAIIAN,MALE,
WI,2014,REFERRED,TWOORMORERACES,FEMALE,
WI,2014,REFERRED,TWOORMORERACES,MALE,
WI,2014,REFERRED,WHITE,FEMALE,41
WI,2014,REFERRED,WHITE,MALE,1202
WV,2014,APPLICANTS,AMERICANINDIAN,FEMALE,4
WV,2014,APPLICANTS,AMERICANINDIAN,MALE,
WV,2014,APPLICANTS,ASIAN,FEMALE,
WV,2014,APPLICANTS,ASIAN,MALE,
WV,2014,APPLICANTS,BLACK,FEMALE,13
WV,2014,APPLICANTS,BLACK,MALE,49
WV,2014,APPLICANTS,HISPANIC,FEMALE,
WV,2014,APPLICANTS,HISPANIC,MALE,6
WV,2014,APPLICANTS,NATIVEHAWAIIAN,FEMALE,
WV,2014,APPLICANTS,NATIVEHAWAIIAN,MALE,
WV,2014,APPLICANTS,TWOORMORERACES,FEMALE,
WV,2014,APPLICANTS,TWOORMORERACES,MALE,
WV,2014,APPLICANTS,WHITE,FEMALE,158
WV,2014,APPLICANTS,WHITE,MALE,1412
WV,2014,MEMBERS,AMERICANINDIAN,FEMALE,
WV,2014,MEMBERS,AMERICANINDIAN,MALE,9
WV,2014,MEMBERS,ASIAN,FEMALE,
WV,2014,MEMBERS,ASIAN,MALE,6
WV,2014,MEMBERS,BLACK,FEMALE,7
WV,2014,MEMBERS,BLACK,MALE,64
WV,2014,MEMBERS,HISPANIC,FEMALE,
WV,2014,MEMBERS,HISPANIC,MALE,22
WV,2014,MEMBERS,NATIVEHAWAIIAN,FEMALE,
WV,2014,MEMBERS,NATIVEHAWAIIAN,MALE,
WV,2014,MEMBERS,TWOORMORERACES,FEMALE,
WV,2014,MEMBERS,TWOORMORERACES,MALE,
WV,2014,MEMBERS,WHITE,FEMALE,200
WV,2014,MEMBERS,WHITE,MALE,7492
WV,2014,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
WV,2014,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,
WV,2014,REFERRALAPPLICANTS,ASIAN,FEMALE,
WV,2014,REFERRALAPPLICANTS,ASIAN,MALE,
WV,2014,REFERRALAPPLICANTS,BLACK,FEMALE,5
WV,2014,REFERRALAPPLICANTS,BLACK,MALE,29
WV,2014,REFERRALAPPLICANTS,HISPANIC,FEMALE,
WV,2014,REFERRALAPPLICANTS,HISPANIC,MALE,10
WV,2014,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,
WV,2014,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,
WV,2014,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,
WV,2014,REFERRALAPPLICANTS,TWOORMORERACES,MALE,
WV,2014,REFERRALAPPLICANTS,WHITE,FEMALE,41
WV,2014,REFERRALAPPLICANTS,WHITE,MALE,1848
WV,2014,REFERRALS,AMERICANINDIAN,FEMALE,
WV,2014,REFERRALS,AMERICANINDIAN,MALE,
WV,2014,REFERRALS,ASIAN,FEMALE,
WV,2014,REFERRALS,ASIAN,MALE,
WV,2014,REFERRALS,BLACK,FEMALE,7
WV,2014,REFERRALS,BLACK,MALE,37
WV,2014,REFERRALS,HISPANIC,FEMALE,
WV,2014,REFERRALS,HISPANIC,MALE,15
WV,2014,REFERRALS,NATIVEHAWAIIAN,FEMALE,
WV,2014,REFERRALS,NATIVEHAWAIIAN,MALE,
WV,2014,REFERRALS,TWOORMORERACES,FEMALE,
WV,2014,REFERRALS,TWOORMORERACES,MALE,
WV,2014,REFERRALS,WHITE,FEMALE,80
WV,2014,REFERRALS,WHITE,MALE,2655
WV,2014,REFERRED,AMERICANINDIAN,FEMALE,
WV,2014,REFERRED,AMERICANINDIAN,MALE,
WV,2014,REFERRED,ASIAN,FEMALE,
WV,2014,REFERRED,ASIAN,MALE,
WV,2014,REFERRED,BLACK,FEMALE,6
WV,2014,REFERRED,BLACK,MALE,37
WV,2014,REFERRED,HISPANIC,FEMALE,
WV,2014,REFERRED,HISPANIC,MALE,15
WV,2014,REFERRED,NATIVEHAWAIIAN,FEMALE,
WV,2014,REFERRED,NATIVEHAWAIIAN,MALE,
WV,2014,REFERRED,TWOORMORERACES,FEMALE,
WV,2014,REFERRED,TWOORMORERACES,MALE,
WV,2014,REFERRED,WHITE,FEMALE,80
WV,2014,REFERRED,WHITE,MALE,2606
WY,2014,APPLICANTS,AMERICANINDIAN,FEMALE,
WY,2014,APPLICANTS,AMERICANINDIAN,MALE,
WY,2014,APPLICANTS,ASIAN,FEMALE,
WY,2014,APPLICANTS,ASIAN,MALE,
WY,2014,APPLICANTS,BLACK,FEMALE,
WY,2014,APPLICANTS,BLACK,MALE,14
WY,2014,APPLICANTS,HISPANIC,FEMALE,14
WY,2014,APPLICANTS,HISPANIC,MALE,69
WY,2014,APPLICANTS,NATIVEHAWAIIAN,FEMALE,
WY,2014,APPLICANTS,NATIVEHAWAIIAN,MALE,
WY,2014,APPLICANTS,TWOORMORERACES,FEMALE,
WY,2014,APPLICANTS,TWOORMORERACES,MALE,
WY,2014,APPLICANTS,WHITE,FEMALE,26
WY,2014,APPLICANTS,WHITE,MALE,193
WY,2014,MEMBERS,AMERICANINDIAN,FEMALE,
WY,2014,MEMBERS,AMERICANINDIAN,MALE,11
WY,2014,MEMBERS,ASIAN,FEMALE,
WY,2014,MEMBERS,ASIAN,MALE,5
WY,2014,MEMBERS,BLACK,FEMALE,
WY,2014,MEMBERS,BLACK,MALE,10
WY,2014,MEMBERS,HISPANIC,FEMALE,4
WY,2014,MEMBERS,HISPANIC,MALE,170
WY,2014,MEMBERS,NATIVEHAWAIIAN,FEMALE,
WY,2014,MEMBERS,NATIVEHAWAIIAN,MALE,
WY,2014,MEMBERS,TWOORMORERACES,FEMALE,
WY,2014,MEMBERS,TWOORMORERACES,MALE,
WY,2014,MEMBERS,WHITE,FEMALE,59
WY,2014,MEMBERS,WHITE,MALE,1152
WY,2014,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
WY,2014,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,3
WY,2014,REFERRALAPPLICANTS,ASIAN,FEMALE,
WY,2014,REFERRALAPPLICANTS,ASIAN,MALE,
WY,2014,REFERRALAPPLICANTS,BLACK,FEMALE,
WY,2014,REFERRALAPPLICANTS,BLACK,MALE,13
WY,2014,REFERRALAPPLICANTS,HISPANIC,FEMALE,16
WY,2014,REFERRALAPPLICANTS,HISPANIC,MALE,66
WY,2014,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,
WY,2014,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,
WY,2014,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,
WY,2014,REFERRALAPPLICANTS,TWOORMORERACES,MALE,
WY,2014,REFERRALAPPLICANTS,WHITE,FEMALE,25
WY,2014,REFERRALAPPLICANTS,WHITE,MALE,229
WY,2014,REFERRALS,AMERICANINDIAN,FEMALE,
WY,2014,REFERRALS,AMERICANINDIAN,MALE,12
WY,2014,REFERRALS,ASIAN,FEMALE,
WY,2014,REFERRALS,ASIAN,MALE,4
WY,2014,REFERRALS,BLACK,FEMALE,
WY,2014,REFERRALS,BLACK,MALE,9
WY,2014,REFERRALS,HISPANIC,FEMALE,9
WY,2014,REFERRALS,HISPANIC,MALE,110
WY,2014,REFERRALS,NATIVEHAWAIIAN,FEMALE,
WY,2014,REFERRALS,NATIVEHAWAIIAN,MALE,
WY,2014,REFERRALS,TWOORMORERACES,FEMALE,
WY,2014,REFERRALS,TWOORMORERACES,MALE,
WY,2014,REFERRALS,WHITE,FEMALE,41
WY,2014,REFERRALS,WHITE,MALE,320
WY,2014,REFERRED,AMERICANINDIAN,FEMALE,
WY,2014,REFERRED,AMERICANINDIAN,MALE,12
WY,2014,REFERRED,ASIAN,FEMALE,
WY,2014,REFERRED,ASIAN,MALE,4
WY,2014,REFERRED,BLACK,FEMALE,
WY,2014,REFERRED,BLACK,MALE,9
WY,2014,REFERRED,HISPANIC,FEMALE,9
WY,2014,REFERRED,HISPANIC,MALE,110
WY,2014,REFERRED,NATIVEHAWAIIAN,FEMALE,
WY,2014,REFERRED,NATIVEHAWAIIAN,MALE,
WY,2014,REFERRED,TWOORMORERACES,FEMALE,
WY,2014,REFERRED,TWOORMORERACES,MALE,
WY,2014,REFERRED,WHITE,FEMALE,41
WY,2014,REFERRED,WHITE,MALE,317
AK,2016,APPLICANTS,AMERICANINDIAN,FEMALE,14
AK,2016,APPLICANTS,AMERICANINDIAN,MALE,57
AK,2016,APPLICANTS,ASIAN,FEMALE,8
AK,2016,APPLICANTS,ASIAN,MALE,22
AK,2016,APPLICANTS,BLACK,FEMALE,8
AK,2016,APPLICANTS,BLACK,MALE,15
AK,2016,APPLICANTS,HISPANIC,FEMALE,5
AK,2016,APPLICANTS,HISPANIC,MALE,34
AK,2016,APPLICANTS,NATIVEHAWAIIAN,FEMALE,5
AK,2016,APPLICANTS,NATIVEHAWAIIAN,MALE,17
AK,2016,APPLICANTS,TWOORMORERACES,FEMALE,7
AK,2016,APPLICANTS,TWOORMORERACES,MALE,6
AK,2016,APPLICANTS,WHITE,FEMALE,111
AK,2016,APPLICANTS,WHITE,MALE,308
AK,2016,MEMBERS,AMERICANINDIAN,FEMALE,116
AK,2016,MEMBERS,AMERICANINDIAN,MALE,497
AK,2016,MEMBERS,ASIAN,FEMALE,54
AK,2016,MEMBERS,ASIAN,MALE,195
AK,2016,MEMBERS,BLACK,FEMALE,28
AK,2016,MEMBERS,BLACK,MALE,179
AK,2016,MEMBERS,HISPANIC,FEMALE,48
AK,2016,MEMBERS,HISPANIC,MALE,200
AK,2016,MEMBERS,NATIVEHAWAIIAN,FEMALE,51
AK,2016,MEMBERS,NATIVEHAWAIIAN,MALE,139
AK,2016,MEMBERS,TWOORMORERACES,FEMALE,15
AK,2016,MEMBERS,TWOORMORERACES,MALE,33
AK,2016,MEMBERS,WHITE,FEMALE,1015
AK,2016,MEMBERS,WHITE,MALE,4703
AK,2016,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,26
AK,2016,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,145
AK,2016,REFERRALAPPLICANTS,ASIAN,FEMALE,7
AK,2016,REFERRALAPPLICANTS,ASIAN,MALE,21
AK,2016,REFERRALAPPLICANTS,BLACK,FEMALE,8
AK,2016,REFERRALAPPLICANTS,BLACK,MALE,51
AK,2016,REFERRALAPPLICANTS,HISPANIC,FEMALE,3
AK,2016,REFERRALAPPLICANTS,HISPANIC,MALE,37
AK,2016,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,4
AK,2016,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,16
AK,2016,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,
AK,2016,REFERRALAPPLICANTS,TWOORMORERACES,MALE,
AK,2016,REFERRALAPPLICANTS,WHITE,FEMALE,119
AK,2016,REFERRALAPPLICANTS,WHITE,MALE,543
AK,2016,REFERRALS,AMERICANINDIAN,FEMALE,6
AK,2016,REFERRALS,AMERICANINDIAN,MALE,66
AK,2016,REFERRALS,ASIAN,FEMALE,8
AK,2016,REFERRALS,ASIAN,MALE,17
AK,2016,REFERRALS,BLACK,FEMALE,
AK,2016,REFERRALS,BLACK,MALE,28
AK,2016,REFERRALS,HISPANIC,FEMALE,
AK,2016,REFERRALS,HISPANIC,MALE,27
AK,2016,REFERRALS,NATIVEHAWAIIAN,FEMALE,
AK,2016,REFERRALS,NATIVEHAWAIIAN,MALE,10
AK,2016,REFERRALS,TWOORMORERACES,FEMALE,
AK,2016,REFERRALS,TWOORMORERACES,MALE,
AK,2016,REFERRALS,WHITE,FEMALE,65
AK,2016,REFERRALS,WHITE,MALE,300
AK,2016,REFERRED,AMERICANINDIAN,FEMALE,5
AK,2016,REFERRED,AMERICANINDIAN,MALE,66
AK,2016,REFERRED,ASIAN,FEMALE,8
AK,2016,REFERRED,ASIAN,MALE,17
AK,2016,REFERRED,BLACK,FEMALE,
AK,2016,REFERRED,BLACK,MALE,28
AK,2016,REFERRED,HISPANIC,FEMALE,
AK,2016,REFERRED,HISPANIC,MALE,27
AK,2016,REFERRED,NATIVEHAWAIIAN,FEMALE,
AK,2016,REFERRED,NATIVEHAWAIIAN,MALE,10
AK,2016,REFERRED,TWOORMORERACES,FEMALE,
AK,2016,REFERRED,TWOORMORERACES,MALE,
AK,2016,REFERRED,WHITE,FEMALE,63
AK,2016,REFERRED,WHITE,MALE,295
AL,2016,APPLICANTS,AMERICANINDIAN,FEMALE,
AL,2016,APPLICANTS,AMERICANINDIAN,MALE,16
AL,2016,APPLICANTS,ASIAN,FEMALE,5
AL,2016,APPLICANTS,ASIAN,MALE,3
AL,2016,APPLICANTS,BLACK,FEMALE,26
AL,2016,APPLICANTS,BLACK,MALE,239
AL,2016,APPLICANTS,HISPANIC,FEMALE,4
AL,2016,APPLICANTS,HISPANIC,MALE,53
AL,2016,APPLICANTS,NATIVEHAWAIIAN,FEMALE,
AL,2016,APPLICANTS,NATIVEHAWAIIAN,MALE,
AL,2016,APPLICANTS,TWOORMORERACES,FEMALE,
AL,2016,APPLICANTS,TWOORMORERACES,MALE,3
AL,2016,APPLICANTS,WHITE,FEMALE,32
AL,2016,APPLICANTS,WHITE,MALE,685
AL,2016,MEMBERS,AMERICANINDIAN,FEMALE,5
AL,2016,MEMBERS,AMERICANINDIAN,MALE,67
AL,2016,MEMBERS,ASIAN,FEMALE,7
AL,2016,MEMBERS,ASIAN,MALE,18
AL,2016,MEMBERS,BLACK,FEMALE,202
AL,2016,MEMBERS,BLACK,MALE,1140
AL,2016,MEMBERS,HISPANIC,FEMALE,13
AL,2016,MEMBERS,HISPANIC,MALE,115
AL,2016,MEMBERS,NATIVEHAWAIIAN,FEMALE,3
AL,2016,MEMBERS,NATIVEHAWAIIAN,MALE,8
AL,2016,MEMBERS,TWOORMORERACES,FEMALE,5
AL,2016,MEMBERS,TWOORMORERACES,MALE,10
AL,2016,MEMBERS,WHITE,FEMALE,328
AL,2016,MEMBERS,WHITE,MALE,7317
AL,2016,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
AL,2016,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,10
AL,2016,REFERRALAPPLICANTS,ASIAN,FEMALE,
AL,2016,REFERRALAPPLICANTS,ASIAN,MALE,4
AL,2016,REFERRALAPPLICANTS,BLACK,FEMALE,27
AL,2016,REFERRALAPPLICANTS,BLACK,MALE,244
AL,2016,REFERRALAPPLICANTS,HISPANIC,FEMALE,
AL,2016,REFERRALAPPLICANTS,HISPANIC,MALE,11
AL,2016,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,
AL,2016,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,
AL,2016,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,
AL,2016,REFERRALAPPLICANTS,TWOORMORERACES,MALE,
AL,2016,REFERRALAPPLICANTS,WHITE,FEMALE,38
AL,2016,REFERRALAPPLICANTS,WHITE,MALE,1131
AL,2016,REFERRALS,AMERICANINDIAN,FEMALE,
AL,2016,REFERRALS,AMERICANINDIAN,MALE,9
AL,2016,REFERRALS,ASIAN,FEMALE,
AL,2016,REFERRALS,ASIAN,MALE,3
AL,2016,REFERRALS,BLACK,FEMALE,37
AL,2016,REFERRALS,BLACK,MALE,331
AL,2016,REFERRALS,HISPANIC,FEMALE,
AL,2016,REFERRALS,HISPANIC,MALE,14
AL,2016,REFERRALS,NATIVEHAWAIIAN,FEMALE,
AL,2016,REFERRALS,NATIVEHAWAIIAN,MALE,
AL,2016,REFERRALS,TWOORMORERACES,FEMALE,
AL,2016,REFERRALS,TWOORMORERACES,MALE,
AL,2016,REFERRALS,WHITE,FEMALE,55
AL,2016,REFERRALS,WHITE,MALE,1419
AL,2016,REFERRED,AMERICANINDIAN,FEMALE,
AL,2016,REFERRED,AMERICANINDIAN,MALE,9
AL,2016,REFERRED,ASIAN,FEMALE,
AL,2016,REFERRED,ASIAN,MALE,3
AL,2016,REFERRED,BLACK,FEMALE,37
AL,2016,REFERRED,BLACK,MALE,321
AL,2016,REFERRED,HISPANIC,FEMALE,
AL,2016,REFERRED,HISPANIC,MALE,14
AL,2016,REFERRED,NATIVEHAWAIIAN,FEMALE,
AL,2016,REFERRED,NATIVEHAWAIIAN,MALE,
AL,2016,REFERRED,TWOORMORERACES,FEMALE,
AL,2016,REFERRED,TWOORMORERACES,MALE,
AL,2016,REFERRED,WHITE,FEMALE,54
AL,2016,REFERRED,WHITE,MALE,1373
AR,2016,APPLICANTS,AMERICANINDIAN,FEMALE,
AR,2016,APPLICANTS,AMERICANINDIAN,MALE,3
AR,2016,APPLICANTS,ASIAN,FEMALE,
AR,2016,APPLICANTS,ASIAN,MALE,
AR,2016,APPLICANTS,BLACK,FEMALE,
AR,2016,APPLICANTS,BLACK,MALE,30
AR,2016,APPLICANTS,HISPANIC,FEMALE,
AR,2016,APPLICANTS,HISPANIC,MALE,9
AR,2016,APPLICANTS,NATIVEHAWAIIAN,FEMALE,
AR,2016,APPLICANTS,NATIVEHAWAIIAN,MALE,
AR,2016,APPLICANTS,TWOORMORERACES,FEMALE,
AR,2016,APPLICANTS,TWOORMORERACES,MALE,
AR,2016,APPLICANTS,WHITE,FEMALE,11
AR,2016,APPLICANTS,WHITE,MALE,268
AR,2016,MEMBERS,AMERICANINDIAN,FEMALE,
AR,2016,MEMBERS,AMERICANINDIAN,MALE,12
AR,2016,MEMBERS,ASIAN,FEMALE,
AR,2016,MEMBERS,ASIAN,MALE,8
AR,2016,MEMBERS,BLACK,FEMALE,
AR,2016,MEMBERS,BLACK,MALE,82
AR,2016,MEMBERS,HISPANIC,FEMALE,
AR,2016,MEMBERS,HISPANIC,MALE,22
AR,2016,MEMBERS,NATIVEHAWAIIAN,FEMALE,
AR,2016,MEMBERS,NATIVEHAWAIIAN,MALE,
AR,2016,MEMBERS,TWOORMORERACES,FEMALE,
AR,2016,MEMBERS,TWOORMORERACES,MALE,
AR,2016,MEMBERS,WHITE,FEMALE,43
AR,2016,MEMBERS,WHITE,MALE,1801
AR,2016,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
AR,2016,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,
AR,2016,REFERRALAPPLICANTS,ASIAN,FEMALE,
AR,2016,REFERRALAPPLICANTS,ASIAN,MALE,
AR,2016,REFERRALAPPLICANTS,BLACK,FEMALE,
AR,2016,REFERRALAPPLICANTS,BLACK,MALE,20
AR,2016,REFERRALAPPLICANTS,HISPANIC,FEMALE,
AR,2016,REFERRALAPPLICANTS,HISPANIC,MALE,3
AR,2016,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,
AR,2016,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,
AR,2016,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,
AR,2016,REFERRALAPPLICANTS,TWOORMORERACES,MALE,
AR,2016,REFERRALAPPLICANTS,WHITE,FEMALE,7
AR,2016,REFERRALAPPLICANTS,WHITE,MALE,252
AR,2016,REFERRALS,AMERICANINDIAN,FEMALE,
AR,2016,REFERRALS,AMERICANINDIAN,MALE,
AR,2016,REFERRALS,ASIAN,FEMALE,
AR,2016,REFERRALS,ASIAN,MALE,34
AR,2016,REFERRALS,BLACK,FEMALE,
AR,2016,REFERRALS,BLACK,MALE,21
AR,2016,REFERRALS,HISPANIC,FEMALE,
AR,2016,REFERRALS,HISPANIC,MALE,3
AR,2016,REFERRALS,NATIVEHAWAIIAN,FEMALE,
AR,2016,REFERRALS,NATIVEHAWAIIAN,MALE,
AR,2016,REFERRALS,TWOORMORERACES,FEMALE,
AR,2016,REFERRALS,TWOORMORERACES,MALE,
AR,2016,REFERRALS,WHITE,FEMALE,7
AR,2016,REFERRALS,WHITE,MALE,331
AR,2016,REFERRED,AMERICANINDIAN,FEMALE,
AR,2016,REFERRED,AMERICANINDIAN,MALE,
AR,2016,REFERRED,ASIAN,FEMALE,
AR,2016,REFERRED,ASIAN,MALE,34
AR,2016,REFERRED,BLACK,FEMALE,
AR,2016,REFERRED,BLACK,MALE,21
AR,2016,REFERRED,HISPANIC,FEMALE,
AR,2016,REFERRED,HISPANIC,MALE,3
AR,2016,REFERRED,NATIVEHAWAIIAN,FEMALE,
AR,2016,REFERRED,NATIVEHAWAIIAN,MALE,
AR,2016,REFERRED,TWOORMORERACES,FEMALE,
AR,2016,REFERRED,TWOORMORERACES,MALE,
AR,2016,REFERRED,WHITE,FEMALE,7
AR,2016,REFERRED,WHITE,MALE,331
AZ,2016,APPLICANTS,AMERICANINDIAN,FEMALE,7
AZ,2016,APPLICANTS,AMERICANINDIAN,MALE,37
AZ,2016,APPLICANTS,ASIAN,FEMALE,
AZ,2016,APPLICANTS,ASIAN,MALE,9
AZ,2016,APPLICANTS,BLACK,FEMALE,24
AZ,2016,APPLICANTS,BLACK,MALE,26
AZ,2016,APPLICANTS,HISPANIC,FEMALE,50
AZ,2016,APPLICANTS,HISPANIC,MALE,409
AZ,2016,APPLICANTS,NATIVEHAWAIIAN,FEMALE,
AZ,2016,APPLICANTS,NATIVEHAWAIIAN,MALE,14
AZ,2016,APPLICANTS,TWOORMORERACES,FEMALE,
AZ,2016,APPLICANTS,TWOORMORERACES,MALE,
AZ,2016,APPLICANTS,WHITE,FEMALE,85
AZ,2016,APPLICANTS,WHITE,MALE,614
AZ,2016,MEMBERS,AMERICANINDIAN,FEMALE,113
AZ,2016,MEMBERS,AMERICANINDIAN,MALE,670
AZ,2016,MEMBERS,ASIAN,FEMALE,71
AZ,2016,MEMBERS,ASIAN,MALE,153
AZ,2016,MEMBERS,BLACK,FEMALE,87
AZ,2016,MEMBERS,BLACK,MALE,1503
AZ,2016,MEMBERS,HISPANIC,FEMALE,406
AZ,2016,MEMBERS,HISPANIC,MALE,4916
AZ,2016,MEMBERS,NATIVEHAWAIIAN,FEMALE,12
AZ,2016,MEMBERS,NATIVEHAWAIIAN,MALE,127
AZ,2016,MEMBERS,TWOORMORERACES,FEMALE,9
AZ,2016,MEMBERS,TWOORMORERACES,MALE,31
AZ,2016,MEMBERS,WHITE,FEMALE,567
AZ,2016,MEMBERS,WHITE,MALE,6963
AZ,2016,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,18
AZ,2016,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,137
AZ,2016,REFERRALAPPLICANTS,ASIAN,FEMALE,3
AZ,2016,REFERRALAPPLICANTS,ASIAN,MALE,22
AZ,2016,REFERRALAPPLICANTS,BLACK,FEMALE,3
AZ,2016,REFERRALAPPLICANTS,BLACK,MALE,68
AZ,2016,REFERRALAPPLICANTS,HISPANIC,FEMALE,6
AZ,2016,REFERRALAPPLICANTS,HISPANIC,MALE,370
AZ,2016,REFERRALAPPLICANTS,NATIVEHAWAIIAN,FEMALE,
AZ,2016,REFERRALAPPLICANTS,NATIVEHAWAIIAN,MALE,
AZ,2016,REFERRALAPPLICANTS,TWOORMORERACES,FEMALE,7
AZ,2016,REFERRALAPPLICANTS,TWOORMORERACES,MALE,16
AZ,2016,REFERRALAPPLICANTS,WHITE,FEMALE,31
AZ,2016,REFERRALAPPLICANTS,WHITE,MALE,820
AZ,2016,REFERRALS,AMERICANINDIAN,FEMALE,27
AZ,2016,REFERRALS,AMERICANINDIAN,MALE,139
AZ,2016,REFERRALS,ASIAN,FEMALE,
AZ,2016,REFERRALS,ASIAN,MALE,3
AZ,2016,REFERRALS,BLACK,FEMALE,
AZ,2016,REFERRALS,BLACK,MALE,31
AZ,2016,REFERRALS,HISPANIC,FEMALE,5
AZ,2016,REFERRALS,HISPANIC,MALE,172
AZ,2016,REFERRALS,NATIVEHAWAIIAN,FEMALE,
AZ,2016,REFERRALS,NATIVEHAWAIIAN,MALE,
